Provincias;Meses;Total
12 Castellón/Castelló;Octubre;388
12 Castellón/Castelló;Noviembre;361
12 Castellón/Castelló;Diciembre;383
13 Ciudad Real;Enero;281
13 Ciudad Real;Febrero;272
13 Ciudad Real;Marzo;272
13 Ciudad Real;Abril;274
13 Ciudad Real;Mayo;291
13 Ciudad Real;Junio;291
13 Ciudad Real;Julio;282
13 Ciudad Real;Agosto;284
13 Ciudad Real;Septiembre;284
13 Ciudad Real;Octubre;281
13 Ciudad Real;Noviembre;281
13 Ciudad Real;Diciembre;286
14 Córdoba;Enero;249
14 Córdoba;Febrero;242
14 Córdoba;Marzo;245
14 Córdoba;Abril;259
14 Córdoba;Mayo;263
14 Córdoba;Junio;269
14 Córdoba;Julio;256
14 Córdoba;Agosto;243
14 Córdoba;Septiembre;237
14 Córdoba;Octubre;255
14 Córdoba;Noviembre;265
14 Córdoba;Diciembre;248
15 Coruña, A;Enero;115
15 Coruña, A;Febrero;129
15 Coruña, A;Marzo;147
15 Coruña, A;Abril;239
15 Coruña, A;Mayo;228
15 Coruña, A;Junio;251
15 Coruña, A;Julio;290
15 Coruña, A;Agosto;302
15 Coruña, A;Septiembre;272
15 Coruña, A;Octubre;233
15 Coruña, A;Noviembre;193
15 Coruña, A;Diciembre;174
16 Cuenca;Enero;333
16 Cuenca;Febrero;356
16 Cuenca;Marzo;357
16 Cuenca;Abril;348
16 Cuenca;Mayo;386
16 Cuenca;Junio;413
16 Cuenca;Julio;411
16 Cuenca;Agosto;417
16 Cuenca;Septiembre;408
16 Cuenca;Octubre;375
16 Cuenca;Noviembre;345
16 Cuenca;Diciembre;328
20 Gipuzkoa;Enero;187
20 Gipuzkoa;Febrero;184
20 Gipuzkoa;Marzo;198
20 Gipuzkoa;Abril;217
20 Gipuzkoa;Mayo;215
20 Gipuzkoa;Junio;219
20 Gipuzkoa;Julio;224
20 Gipuzkoa;Agosto;236
20 Gipuzkoa;Septiembre;221
20 Gipuzkoa;Octubre;221
20 Gipuzkoa;Noviembre;223
20 Gipuzkoa;Diciembre;224
17 Girona;Enero;625
17 Girona;Febrero;616
17 Girona;Marzo;684
17 Girona;Abril;795
17 Girona;Mayo;824
17 Girona;Junio;829
17 Girona;Julio;841
17 Girona;Agosto;865
17 Girona;Septiembre;859
17 Girona;Octubre;819
17 Girona;Noviembre;769
17 Girona;Diciembre;760
18 Granada;Enero;195
18 Granada;Febrero;209
18 Granada;Marzo;239
18 Granada;Abril;261
18 Granada;Mayo;262
18 Granada;Junio;290
18 Granada;Julio;266
18 Granada;Agosto;269
18 Granada;Septiembre;284
18 Granada;Octubre;274
